,Human_VS_GPT-3.5_CNC,Human_VS_GPT-3.5_ENC,Human_VS_GPT-3.5_MCNC,Human_VS_GPT-3.5_FCNC,Human_VS_GPT-4_CNC,Human_VS_GPT-4_ENC,Human_VS_GPT-4_MCNC,Human_VS_GPT-4_FCNC,Human_VS_Llama-2-7B_CNC,Human_VS_Llama-2-7B_ENC,Human_VS_Llama-2-7B_MCNC,Human_VS_Llama-2-7B_FCNC,Human_VS_Llama-2-13B_CNC,Human_VS_Llama-2-13B_ENC,Human_VS_Llama-2-13B_MCNC,Human_VS_Llama-2-13B_FCNC
almost certain,0.476,0.599,0.576,0.576,0.517,0.671,0.66,0.639,0.691,0.868,0.572,0.572,0.774,0.916,0.752,0.752
highly likely,0.433,0.613,0.491,0.491,0.419,0.577,0.467,0.467,0.605,0.68,0.634,0.634,0.724,0.857,0.686,0.686
very good chance,0.356,0.523,0.295,0.279,0.279,0.465,0.322,0.322,0.385,0.397,0.354,0.354,0.561,0.806,0.589,0.589
probable,0.275,0.445,0.258,0.287,0.256,0.496,0.355,0.297,0.104,0.225,0.085,0.085,0.259,0.678,0.297,0.291
likely,0.295,0.523,0.221,0.214,0.221,0.387,0.228,0.225,0.089,0.188,0.089,0.089,0.287,0.59,0.308,0.37
we believe,0.353,0.456,0.387,0.381,0.176,0.485,0.216,0.216,0.266,0.424,0.26,0.26,0.568,0.718,0.472,0.443
probably,0.236,0.416,0.261,0.244,0.209,0.394,0.221,0.301,0.105,0.16,0.117,0.085,0.349,0.682,0.323,0.337
better than even,0.107,0.463,0.128,0.128,0.496,0.406,0.614,0.639,0.073,0.03,0.118,0.118,0.076,0.354,0.049,0.054
about even,0.524,0.524,0.564,0.564,0.524,0.524,0.564,0.564,0.047,0.064,0.02,0.02,0.524,0.524,0.524,0.524
we doubt,0.685,0.459,0.607,0.597,0.265,0.24,0.371,0.371,0.34,0.324,0.372,0.353,0.267,0.272,0.242,0.242
improbable,0.621,0.566,0.541,0.5,0.245,0.337,0.335,0.335,0.325,0.236,0.234,0.25,0.207,0.243,0.216,0.216
unlikely,0.822,0.683,0.742,0.742,0.254,0.387,0.36,0.344,0.354,0.284,0.354,0.354,0.289,0.367,0.319,0.289
probably not,0.868,0.709,0.753,0.742,0.351,0.439,0.389,0.389,0.554,0.326,0.447,0.533,0.458,0.417,0.337,0.337
little chance,0.741,0.742,0.579,0.519,0.327,0.396,0.329,0.329,0.323,0.217,0.213,0.211,0.096,0.167,0.06,0.068
almost no chance,0.588,0.518,0.35,0.35,0.507,0.54,0.524,0.488,0.235,0.239,0.278,0.271,0.136,0.183,0.083,0.076
highly unlikely,0.656,0.547,0.536,0.568,0.26,0.337,0.302,0.302,0.291,0.237,0.248,0.278,0.174,0.256,0.108,0.128
chances are slight,0.623,0.679,0.51,0.467,0.224,0.326,0.288,0.288,0.083,0.157,0.005,0.005,0.105,0.178,0.053,0.063
